"respondent","hh_size","adults_hh","country_direction","country_change","economic_situation","political_situation","economy_change","attitude_Kopacz","hh_finances","future_finances","politics_interest","religious_participation","DATE","weight","married","ed_level","urban_rural","policies_improve_economic","know_FXborrower","province","past.turnout","employed","treat","income.quint","age","currentFXloan","pastFXloan","LeftRight","female","retired","in.labor.force","PiS2011","POPSL2011","vote.intent.rev","gi","ps","turnout.intent.ord","immigration.summary","antimigrant.summary"
"5932",195,5,4,1,3,2,3,3,2.5,3,3,3,2,2015-10-08,0.896868326009696,0,2,1,NA,0,"Wielkopolskie",1,2,"cntrl",NA,45,0,0,1,0,0,1,1,0,"PiS","some","50/50",2,NA,NA
"5933",198,2,2,1,NA,2,NA,2,1,4,3,2,5,2015-10-08,0.574551115454091,1,2,2,2,0,"Slaskie",1,1,"history",5,66,0,0,-3,1,1,0,0,1,"PO/PSL","some","some",2,NA,NA
"5934",202,3,2,2,3,4,3,4,NA,3,3,3,2,2015-10-08,0.707434161470225,1,2,2,4,0,"Podkarpackie",1,2,"history",3,49,0,0,NA,1,0,1,NA,NA,"DK","none","DK",1,NA,NA
"5935",205,2,2,1,3,2,NA,5,2,4,3,1,2,2015-10-08,0.85523198564313,1,2,3,1,0,"Mazowieckie",1,1,"cntrl",5,78,0,0,3,1,1,0,0,1,"PO/PSL","none","50/50",2,NA,NA
"5936",208,1,1,1,NA,3,NA,NA,2,4,3,3,2,2015-10-08,0.75369474164889,0,4,3,2,1,"Mazowieckie",1,2,"info",5,58,0,0,0,1,0,1,NA,NA,"PO/PSL","big","50/50",2,NA,NA
"5937",211,2,2,2,3,4,NA,3,2,3,3,3,2,2015-10-08,1.11819732523545,1,2,3,2,0,"Wielkopolskie",1,1,"Hungary",NA,54,0,0,-1,1,1,0,0,1,"PO/PSL","none","50/50",2,NA,NA
"5938",212,1,1,1,3,4,NA,3,4,2,3,3,3,2015-10-08,0.646572085408425,0,3,3,3,0,"Wielkopolskie",0,1,"cntrl",3,79,0,0,2,1,1,0,0,0,"PiS","some","50/50",2,NA,NA
"5939",213,4,2,NA,3,2,NA,3,2.5,3,3,4,2,2015-10-08,1.08615224731789,1,2,3,3,1,"Wielkopolskie",1,2,"history",NA,50,0,0,0,0,0,1,0,1,"PO/PSL","DK","some",2,NA,NA
"5940",216,1,1,2,3,4,3,NA,2.5,3,2,4,4,2015-10-08,1.23858029887209,0,3,3,NA,0,"Wielkopolskie",0,2,"Hungary",NA,25,0,0,NA,1,0,1,0,0,"NoVote","DK","DK",0,NA,NA
"5941",218,1,1,NA,NA,3,NA,NA,2.5,3,3,5,2,2015-10-08,1.21147995389998,0,1,3,NA,0,"Wielkopolskie",0,1,"info",NA,61,0,0,NA,1,1,0,0,0,"NoVote","some","50/50",0,NA,NA
"5942",219,1,1,NA,3,3,3,2,2,4,4,3,4,2015-10-08,0.636554719453869,0,2,2,2,1,"Lódzkie",1,2,"history",5,62,0,0,-3,0,0,1,0,0,"other","none","none",2,NA,NA
"5943",220,2,2,2,2,NA,3,2,2,4,3,3,2,2015-10-08,0.583578508378518,1,3,2,2,1,"Lódzkie",1,1,"history",5,65,0,0,0,1,1,0,0,1,"PO/PSL","some","some",2,NA,NA
"5944",222,3,3,2,3,3,3,3,3,4,4,3,4,2015-10-08,0.901048554458835,1,2,3,3,0,"Slaskie",NA,2,"cntrl",4,35,0,0,2,1,0,1,NA,NA,"other","some","50/50",2,NA,NA
"5945",223,2,2,2,3,4,3,NA,NA,3,3,3,2,2015-10-08,0.859200667957232,1,4,3,4,0,"Slaskie",NA,2,"history",4,47,0,0,NA,1,0,1,NA,NA,"other","none","none",2,NA,NA
"5946",224,2,2,1,2,2,2,2,2,4,3,2,4,2015-10-08,0.779270907327552,1,2,3,2,0,"Slaskie",1,1,"history",4,69,0,0,1,0,1,0,0,1,"PO/PSL","some","90/10",2,NA,NA
"5947",225,2,2,1,3,3,4,3,2,4,3,3,3,2015-10-08,0.91922121875659,0,4,2,3,1,"Lubuskie",1,2,"Hungary",5,52,0,0,0,1,0,1,0,1,"other","none","none",2,NA,NA
"5948",226,2,2,1,3,3,3,3,2,3,3,2,2,2015-10-08,0.675429604490129,1,4,2,2,0,"Lubuskie",1,1,"history",5,69,0,0,2,1,1,0,0,1,"DK","some","50/50",1,NA,NA
"5949",227,1,1,NA,5,3,4,4,1,3,2,1,3,2015-10-08,0.679734582166217,0,3,3,1,1,"Malopolskie",1,1,"history",4,71,0,0,0,1,1,0,0,1,"PO/PSL","none","some",2,NA,NA
"5950",230,4,3,2,3,4,3,3,4,3,3,4,4,2015-10-08,1.54211519976848,1,4,3,3,0,"Malopolskie",NA,1,"cntrl",2,25,0,0,0,1,0,0,NA,NA,"other","some","90/10",2,NA,NA
"5951",232,1,1,NA,NA,NA,3,3,2.5,3,3,5,2,2015-10-08,0.765319344460274,0,2,2,NA,0,"Swietokrzyskie",NA,1,"history",4,82,0,0,NA,1,1,0,NA,NA,"NoVote","DK","DK",0,NA,NA
